code,name,state,region,country,continent,Código OACI,lat_geo_point,lon_geo_point
KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,32.896801,-97.038002
KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,40.639801,-73.7789
KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,25.79319953918457,-80.29060363769531
SBCF,CONFINS,MG,SUDESTE,BRASIL,AMÉRICA DO SUL,,-19.62444305419922,-43.97194290161133
SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,,-22.8099994659,-43.2505569458
SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,,-23.435556411743164,-46.47305679321289
SGAS,ASUNCIÓN,,,PARAGUAI,AMÉRICA DO SUL,,-25.239999771118164,-57.52000045776367
SSUM,UMUARAMA,PR,SUL,BRASIL,AMÉRICA DO SUL,,-23.7987003326416,-53.31380081176758
SUMU,"MONTEVIDEO, MONTEVIDEO",,,URUGUAI,AMÉRICA DO SUL,,-34.838402,-56.0308
,,,,,,SBRB,"-9,8683333","-67,898056"
SNBG,BAIXO GUANDU,ES,SUDESTE,BRASIL,AMÉRICA DO SUL,,-19.499000549316406,-41.04180145263672
KMCO,"ORLANDO, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,28.429399490356445,-81.30899810791016
SSBG,BENTO GONÇALVES,RS,SUL,BRASIL,AMÉRICA DO SUL,,-29.1483325958,-51.5363883972
SBCV,CARAVELAS,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,,-17.6523,-39.253101
SBLP,BOM JESUS DA LAPA,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,,-13.2621002197,-43.4081001282
SBSV,SALVADOR,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,,-12.9086112976,-38.3224983215
SNGI,GUANAMBI,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,,-14.208200454711914,-42.74610137939453
SNTF,TEIXEIRA DE FREITAS,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,,-17.524499893188,-39.66849899292
SBAR,ARACAJU,SE,NORDESTE,BRASIL,AMÉRICA DO SUL,,-10.984000206,-37.0703010559
SBMO,RIO LARGO,AL,NORDESTE,BRASIL,AMÉRICA DO SUL,,-9.510809898376465,-35.79169845581055
SBPL,PETROLINA,PE,NORDESTE,BRASIL,AMÉRICA DO SUL,,-9.362409591674805,-40.56909942626953
SNBR,BARREIRAS,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,,-12.078900337219238,-45.00899887084961
SNVR,VERA CRUZ,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,,-13.024700164794922,-38.66579818725586
CYYZ,TORONTO,,,CANADÁ,AMÉRICA DO NORTE,,43.6772003174,-79.63059997559999
DTTA,TUNIS,,,TUNÍSIA,ÁFRICA,,36.85100173950195,10.22719955444336
UUEE,MOSCOW,,,RÚSSIA,EUROPA,,55.972599,37.4146
GOOY,DACAR,,,SENEGAL,ÁFRICA,,14.739700317382812,-17.49020004272461
LFPG,PARIS,,,FRANÇA,EUROPA,,49.012798,2.55
SBKP,CAMPINAS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,,-23.0074005127,-47.1344985962
SOCA,CAYENNE,,,GUIANA FRANCESA,AMÉRICA DO SUL,,4.819809913639999,-52.360401153599994
SCEL,SANTIAGO,,,CHILE,AMÉRICA DO SUL,,-33.393001556396484,-70.78579711914062
SBBV,BOA VISTA,RR,NORTE,BRASIL,AMÉRICA DO SUL,,2.84138894081,-60.6922225952
SVPR,"CIUDAD GUAYANA, BOLÍVAR",,,VENEZUELA,AMÉRICA DO SUL,,8.288530349731445,-62.760398864746094
MMMX,MEXICO,,,MÉXICO,AMÉRICA DO NORTE,,19.4363,-99.072098
MMUN,CANCUN/INTL,,,MÉXICO,AMÉRICA DO NORTE,,21.036500930800003,-86.8770980835
SPIM,"CALLAO/LIMA, LIMA METROPOLITAN AREA",,,PERU,AMÉRICA DO SUL,,-12.0219,-77.114305
SAEZ,"EZEIZA, BUENOS AIRES PROVINCE",,,ARGENTINA,AMÉRICA DO SUL,,-34.8222,-58.5358
SBFL,FLORIANÓPOLIS,SC,SUL,BRASIL,AMÉRICA DO SUL,,-27.670278549194336,-48.5525016784668
LEMD,MADRID,,,ESPANHA,EUROPA,,40.471926,-3.56264
SABE,BUENOS AIRES,,,ARGENTINA,AMÉRICA DO SUL,,-34.5592,-58.4156
SACO,"CÓRDOBA, CÓRDOBA PROVINCE",,,ARGENTINA,AMÉRICA DO SUL,,-31.323601,-64.208
SBPA,PORTO ALEGRE,RS,SUL,BRASIL,AMÉRICA DO SUL,,-29.994400024414062,-51.1713981628418
SAAR,"ROSARIO, SANTA FE PROVINCE",,,ARGENTINA,AMÉRICA DO SUL,,-32.9036,-60.785
SKBO,BOGOTÁ,,,COLÔMBIA,AMÉRICA DO SUL,,4.70159,-74.1469
LIMC,MILAN,,,ITÁLIA,EUROPA,,45.6306,8.72811
LIRF,ROME,,,ITÁLIA,EUROPA,,41.8002778,12.2388889
EGKK,"LONDON, ENGLAND",,,REINO UNIDO,EUROPA,,51.148102,-0.190278
1AON,OURILÂNDIA DO NORTE,PA,NORTE,BRASIL,AMÉRICA DO SUL,,-6.751969999999972,-51.07726999999994
SBAA,CONCEIÇÃO DO ARAGUAIA,PA,NORTE,BRASIL,AMÉRICA DO SUL,,-8.34835,-49.301498
SBAS,ASSIS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,,-23.21169999999995,-46.87334999999996
SBAU,ARAÇATUBA,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,,-21.1413002014,-50.4247016907
SBBE,BELÉM,PA,NORTE,BRASIL,AMÉRICA DO SUL,,-1.3792500495900002,-48.4762992859
SBBH,BELO HORIZONTE,MG,SUDESTE,BRASIL,AMÉRICA DO SUL,,-19.851200103759766,-43.950599670410156
SBBR,BRASÍLIA,DF,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-15.869167,-47.920834
SBCG,CAMPO GRANDE,MS,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-20.468700408900002,-54.6725006104
SBCH,CHAPECÓ,SC,SUL,BRASIL,AMÉRICA DO SUL,,-27.134199142456,-52.656600952148
SBCJ,PARAUAPEBAS,PA,NORTE,BRASIL,AMÉRICA DO SUL,,-6.11527776718,-50.0013885498
SBCT,SÃO JOSÉ DOS PINHAIS,PR,SUL,BRASIL,AMÉRICA DO SUL,,-25.5284996033,-49.1758003235
SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-15.6528997421,-56.1166992188
SBDN,PRESIDENTE PRUDENTE,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,,-22.1751003265,-51.4245986938
SBEG,MANAUS,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-3.03861,-60.049702
SBFC,FRANCA,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,,-22.7264569252266,-47.34129770785674
SBFZ,FORTALEZA,CE,NORDESTE,BRASIL,AMÉRICA DO SUL,,-3.776279926300049,-38.53260040283203
SBGO,GOIÂNIA,GO,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-16.631999969482422,-49.220699310302734
SBIL,ILHÉUS,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,,-14.815999984741,-39.033199310303
SBIZ,IMPERATRIZ,MA,NORDESTE,BRASIL,AMÉRICA DO SUL,,-5.53129,-47.459999
SBJP,SANTA RITA,PB,NORDESTE,BRASIL,AMÉRICA DO SUL,,-7.145833015440001,-34.9486122131
SBJV,JOINVILLE,SC,SUL,BRASIL,AMÉRICA DO SUL,,-26.22450065612793,-48.797401428222656
SBLO,LONDRINA,PR,SUL,BRASIL,AMÉRICA DO SUL,,-23.333599090599996,-51.1301002502
SBMA,MARABÁ,PA,NORTE,BRASIL,AMÉRICA DO SUL,,-5.36858987808,-49.138000488299994
